"","1","2","3","4"
"4_TFH",0.770744740728281,1.85983670073263,0.298481026911688,0.743160278279597
"4_TH1",0.583739268756522,0.0780655730696164,0.111558154086421,0.0316917184775231
"4_TH17",0.0485045435455198,2.92180721134573,0.856999050954484,0.748038468382698
"4_Th17TO1",0.578953328441042,1.49929587727197,0.347121754568436,0.228999220591537
"4_TH2",0.48074833400206,0.275769011831783,0.0767217863090155,0.625032283082231
"4_TH22",0.0552122317827802,2.2232191190374,0.671301990374899,0.66582572124708
"4+ (IM STAT)",0.708256957554343,1.02175028050052,2.22044604925031e-16,0.886167821866018
"4+",0.695206117117237,1.06285102749326,2.22044604925031e-16,0.865296164405525
"4+226+",0.803009385948464,0.597559183015511,0.310882653012732,0.453685742716595
"4+39+",0.452578414112858,2.34692314628903,0.687751464169915,0.683720394622497
"4+DR+",0.796832742896515,0.309766957880036,0.268037284273862,0.115977196797871
"4+PD-1+",0.92500491723885,0.524106927476029,0.338169112663007,0.180020265032368
"4+PD-1+TIGIT-",1.03590627514006,0.811000053713831,0.860142981146429,0.321144421875781
"4+PD-1+TIGIT+",0.841601288333061,0.38912262509463,0.0818851652148366,0.117506872454871
"4+PD-1-TIGIT-",0.406636348151372,1.35585913429899,0.447637502175184,2.26857551100488
"4+PD-1-TIGIT+",0.433935707196193,0.178384686002205,2.22044604925031e-16,0.122294485602111
"4+TIGIT+",0.751348225043661,0.344293896295784,0.0603316538687792,0.116354757469492
"4NV(CTAP2)",0.0494848089772274,0.136377175517958,0.0666597078144149,2.83485090201671
"4NV",0.0675313171168844,0.240363459106648,0.0462508674909391,2.58639932430713
"4NV_TH1",0.0579428298242611,0.491176048222433,0.0810955272177182,2.41006457858716
"4NV_TH17",0.0388104085290051,0.765418684035775,0.337371964635843,2.09162507155081
"4NV_Th17TO1",0.0606323795094668,0.64612066972554,0.167531335959627,1.15486181699804
"4NV_TH2",0.040714357917757,0.0822882901209429,2.22044604925031e-16,2.0328109818381
"4NV_TH22",0.110595265366417,0.0703628659413217,0.511163303749815,1.26127544063942
"4NV+226+",0.0445611080181126,0.115894062098919,0.0690172319304908,2.8780864995621
"4NV+39+",2.22044604925031e-16,0.307771759504,0.355671782481713,1.96181781338566
"4NV+DR+",0.263894597357613,1.8039567490858e-05,0.182835073614791,1.28095464672292
"4NV+PD1+",0.212812148861963,0.0739672701558853,0.713372980214456,2.10131557643629
"4NV+PD-1+TIGIT-",0.0971778802299985,0.0181913456586683,0.830192528461984,2.07701260195236
"4NV+PD-1+TIGIT+",0.364832971290823,0.189749990760396,0.323651024185104,1.56400141979798
"4NV+PD-1-TIGIT-",0.0178256641755858,0.119469644300379,0.0279177079852742,2.66201677972266
"4NV+PD-1-TIGIT+",0.492152575873704,0.0753412786045954,8.96612296066971e-11,1.26497347335725
"4NV+TIGIT+",0.637058298928897,0.175528278684821,0.157792998546151,1.90512227903706
"4EM",0.789332747902325,2.22044604925031e-16,0.101416618469654,0.00041636623262324
"4EM_TH1",0.512879033377559,2.22044604925031e-16,0.0233529037891805,2.60751959361756e-08
"4EM_TH17",0.670013456742083,0.191901428828653,0.0510984939474501,0.0243375985873549
"4EM_Th17TO1",0.517543015773755,0.0751540273721455,0.0222219210731169,2.22044604925031e-16
"4EM_TH2",0.344131941604207,0.000273687507424587,0.00331562539447912,0.000191345389667773
"4EM_TH22",0.503648503665038,0.411204672661423,2.22044604925031e-16,1.60827823309053e-15
"4EM+226+",0.940548658997917,0.647867431534257,0.413589230297209,0.132113407341694
"4EM+39+",0.386207581901952,2.80954628262595,0.886476632678592,0.381936646490178
"4EM+DR+",0.9464984860292,0.397994357471506,0.366884556326127,0.0603299687136586
"4EM+PD1+",0.975168298831372,0.541058288042402,0.372651062747446,0.0872965841335811
"4EM+PD1+TIGIT-",1.0957501727646,0.890599616801046,0.939265780063332,0.17980630583369
"4EM+PD1+TIGIT+",0.833785384646618,0.354058718061313,0.0872887945427886,0.0477215587026184
"4EM+PD1-TIGIT-",0.431626089832835,1.43072219186382,0.770779804379136,0.399726049914155
"4EM+PD1-TIGIT+",0.438504821959183,0.207143026640801,0.0112208527221688,0.0580220257627596
"4EM+TIGIT+",0.902167009618405,0.388585538545567,0.0863312686260756,0.0559953672382609
"4EMTM",0.945092194276407,0.681327586886897,0.429745033966795,0.133939804202776
"4CM(CTAP2)",0.545092504044169,1.49065279163338,0.333314208129266,1.00970767572628
"4CM",0.562663868073478,2.00101508855036,0.338837678716403,1.25738904141375
"4CM_TH1",0.493646672728133,0.562160207725018,0.13473125446123,0.365912033515066
"4CM_TH17",0.0703723337993798,2.6679714221515,0.403329142419264,0.646330855502125
"4CM_Th17TO1",0.224917156531218,0.975381042753575,0.325009313364248,0.556815480955463
"4CM_TH2",0.0553209831909275,1.17189349135128,0.0933505059183144,1.68722920417425
"4CM_TH22",0.0712595269785264,1.07368890550876,0.448907221771198,1.25790295901446
"4CM+226+",0.545797074416846,1.4750336210229,0.328828296949674,0.998449965829968
"4CM+39+",0.429529242822621,1.72120165745958,0.195286176465811,0.903331989627132
"4CM+DR+",0.533482259935552,0.532548100725094,0.188349988744419,0.341536274906471
"4CM+PD1+",0.586445066235322,1.04686475281389,0.306192127054068,0.614754811724363
"4CM+PD1+TIGIT-",0.568515569476112,1.9264839506617,1.11163118361327,1.46456037537351
"4CM+PD1+TIGIT+",0.559789461532421,0.767109329305634,0.0808009444509557,0.372347690030529
"4CM+PD1-TIGIT-",0.0871074164964651,1.68542897824253,0.25779790095729,1.49580586418269
