"","LFC","P","Padj","DE","DE_dir","labels","delabel"
"8NV+PD-1+",-0.0245978649881043,0.962,0.973876543209877,FALSE,"NO","8NV+PD-1+",NA
"8NV+PD-1+TIGIT-",0.379060642915359,0.525,0.58972602739726,FALSE,"NO","8NV+PD-1+TIGIT-",NA
"8NV+PD-1+TIGIT+",-0.25338025692501,0.648,0.717637583892617,FALSE,"NO","8NV+PD-1+TIGIT+",NA
"8NV+PD-1-TIGIT-",1.09801049589473,0.0145,0.0424642857142857,TRUE,"UP","8NV+PD-1-TIGIT-","8NV+PD-1-TIGIT-"
"8NV+PD-1-TIGIT+",-0.693618417879944,0.178,0.247389830508475,FALSE,"NO","8NV+PD-1-TIGIT+",NA
"8NV+TIGIT+",-0.484802384227323,0.315,0.366382978723404,FALSE,"NO","8NV+TIGIT+",NA
"8TREG",-2.67479768532197,0.00122,0.00869913043478261,TRUE,"DOWN","8TREG","8TREG"
"8EM",-3.35357377177191,0.00247,0.0109481081081081,TRUE,"DOWN","8EM","8EM"
"8CM(CTAP2)",-2.09757323920919,0.072,0.119272727272727,FALSE,"NO","8CM(CTAP2)",NA
"8CM",-1.6369148922975,0.0579,0.102103225806452,FALSE,"NO","8CM",NA
"8CM+226+",-2.08219050285743,0.0937,0.146350476190476,FALSE,"NO","8CM+226+",NA
"8CM+39+",-1.19738155549822,0.0393,0.0790361445783132,FALSE,"NO","8CM+39+",NA
"8CM+DR+",-2.75349138993891,0.0613,0.104720833333333,FALSE,"NO","8CM+DR+",NA
"8CM+PD-1+",-2.67122961806276,0.0219,0.0536059701492537,FALSE,"NO","8CM+PD-1+",NA
"8CM+PD-1+TIGIT-",-2.36638749531592,0.0311,0.0689243243243243,FALSE,"NO","8CM+PD-1+TIGIT-",NA
"8CM+PD-1+TIGIT+",-2.78565782378782,0.0243,0.0575154929577465,FALSE,"NO","8CM+PD-1+TIGIT+",NA
"8CM+PD-1-TIGIT-",-0.747994246183541,0.289,0.343449275362319,FALSE,"NO","8CM+PD-1-TIGIT-",NA
"8CM+PD-1-TIGIT+",-3.00010921092462,0.162,0.229034482758621,FALSE,"NO","8CM+PD-1-TIGIT+",NA
"8CM+TIGIT+",-2.88003574092973,0.0735,0.12054,FALSE,"NO","8CM+TIGIT+",NA
"8TE(CTAP2)",-2.02461052055197,0.000659,0.00700376470588235,TRUE,"DOWN","8TE(CTAP2)","8TE(CTAP2)"
"8TE",-2.0956321546302,0.00144,0.00898962962962963,TRUE,"DOWN","8TE","8TE"
"8TE+226+",-2.04846041596697,0.000724,0.00700376470588235,TRUE,"DOWN","8TE+226+","8TE+226+"
"8TE+39+",-1.81227742993275,0.00482,0.0183832558139535,TRUE,"DOWN","8TE+39+","8TE+39+"
"8TE+DR+",-2.269715373019,0.000699,0.00700376470588235,TRUE,"DOWN","8TE+DR+","8TE+DR+"
"8TE+PD-1+",-2.1568887513148,0.00196,0.00974060606060606,TRUE,"DOWN","8TE+PD-1+","8TE+PD-1+"
"8TE+PD-1+TIGIT-",-1.66341448954691,0.0122,0.0370518518518519,TRUE,"DOWN","8TE+PD-1+TIGIT-","8TE+PD-1+TIGIT-"
"8TE+PD-1+TIGIT+",-2.44969657837097,0.00157,0.00919571428571428,TRUE,"DOWN","8TE+PD-1+TIGIT+","8TE+PD-1+TIGIT+"
"8TE+PD-1-TIGIT-",-1.53082169739289,0.0198,0.0507375,FALSE,"NO","8TE+PD-1-TIGIT-",NA
"8TE+PD-1-TIGIT+",-2.38126726940306,0.00169,0.00923866666666667,TRUE,"DOWN","8TE+PD-1-TIGIT+","8TE+PD-1-TIGIT+"
"8TE+TIGIT+",-2.41493414477374,0.00043,0.00700376470588235,TRUE,"DOWN","8TE+TIGIT+","8TE+TIGIT+"
"8ТМ",-2.57746680842836,0.00011,0.00700376470588235,TRUE,"DOWN","8ТМ","8ТМ"
"TREG_CM",-0.324199847527302,0.539,0.601333333333333,FALSE,"NO","TREG_CM",NA
"TREG_EMTM",-0.866051989170067,0.0415,0.0810238095238095,FALSE,"NO","TREG_EMTM",NA
"TREG_NV",0.831917093463381,0.00555,0.0197869565217391,TRUE,"UP","TREG_NV","TREG_NV"
"TREG_TE",-0.666177015424397,0.0184,0.0486709677419355,TRUE,"DOWN","TREG_TE","TREG_TE"
"TREG+226+",-0.721174406092524,0.0384,0.0790361445783132,FALSE,"NO","TREG+226+",NA
"TREG+226+TIGIT-",-0.122912643994284,0.717,0.763558441558441,FALSE,"NO","TREG+226+TIGIT-",NA
"TREG+226+TIGIT+",-0.836089870668575,0.0301,0.0676219178082192,FALSE,"NO","TREG+226+TIGIT+",NA
"TREG+226-TIGIT-",0.13883925355492,0.658,0.719413333333333,FALSE,"NO","TREG+226-TIGIT-",NA
"TREG+226-TIGIT+",-0.625099428515201,0.154,0.22104347826087,FALSE,"NO","TREG+226-TIGIT+",NA
"TREG+39+",-0.855339149266365,0.0478,0.091153488372093,FALSE,"NO","TREG+39+",NA
"TREG+DR+",-0.860407360113495,0.0394,0.0790361445783132,FALSE,"NO","TREG+DR+",NA
"TREG+PD-1+",-0.844464137433187,0.0981,0.148966666666667,FALSE,"NO","TREG+PD-1+",NA
"TREG+TIGIT+",-0.768678858033891,0.0486,0.0916137931034483,FALSE,"NO","TREG+TIGIT+",NA
