"","1","2","3","4"
"4TE+PD-1+TIGIT-",1.1545056796307,0.278573511028666,0.593785656964586,0.119851414244056
"4EM+PD1+TIGIT-",1.0957501727646,0.890599616801046,0.939265780063332,0.17980630583369
"4+PD-1+TIGIT-",1.03590627514006,0.811000053713831,0.860142981146429,0.321144421875781
"4EM+PD1+",0.975168298831372,0.541058288042402,0.372651062747446,0.0872965841335811
"4EM+DR+",0.9464984860292,0.397994357471506,0.366884556326127,0.0603299687136586
"4ТМ",0.945246458652464,2.13797768266273,1.11912098811404,0.331142021611464
"4EMTM",0.945092194276407,0.681327586886897,0.429745033966795,0.133939804202776
"4EM+226+",0.940548658997917,0.647867431534257,0.413589230297209,0.132113407341694
"4+PD-1+",0.92500491723885,0.524106927476029,0.338169112663007,0.180020265032368
"4EM+TIGIT+",0.902167009618405,0.388585538545567,0.0863312686260756,0.0559953672382609
"4_TH17",0.0485045435455198,2.92180721134573,0.856999050954484,0.748038468382698
"4TM_TH17",2.22044604925031e-16,2.87564080691627,1.14357088293155,0.367315699578967
"4EM+39+",0.386207581901952,2.80954628262595,0.886476632678592,0.381936646490178
"TREG_TE",0.0638951210969321,2.80524980511851,0.680894029070996,0.392382447253215
"4CM_TH17",0.0703723337993798,2.6679714221515,0.403329142419264,0.646330855502125
"4TM_TH22",0.0246454161901652,2.44966072749442,0.650090483227536,0.312376707151044
"4+39+",0.452578414112858,2.34692314628903,0.687751464169915,0.683720394622497
"4_TH22",0.0552122317827802,2.2232191190374,0.671301990374899,0.66582572124708
"4TREG_TH17",0.00111938783833512,2.06121757611763,0.252597492907289,0.224654743586663
"8+226+",0.480552990943105,0.0870098235094869,1.75060936923306,0.0384574357168332
"8TE+226+",0.44921381211158,0.0940824954354931,1.7442967690884,0.00756641091470781
"8TE(CTAP2)",0.432365278656318,0.117248559533161,1.73107837081079,0.0079164081928031
"8TE",0.434632661550647,0.0161415853084012,1.66556399852187,0.00775493268931734
"8+ (IM STAT)",0.285001650211662,0.0152906992549345,1.63818913815143,0.00495654344353925
"8+PD-1+TIGIT-",0.341562867372673,0.000154723257335307,1.62756857514402,0.0441034053958789
"8+",0.294025403875883,0.0098728109385779,1.60119834662154,2.17232205104481e-13
"8TREG",0.293133357409992,0.00789968372064229,1.5537280504479,4.4787010999537e-13
"8+TIGIT+",0.360676923217755,0.113638917729266,1.51243565593357,2.22044604925031e-16
"8TE+TIGIT+",0.323610240497848,0.115651362428803,1.46099934225451,2.22044604925031e-16
"TREG_NV",0.0518150535812201,1.06243940035973,0.17977767472654,3.19382945793576
"4NV+226+",0.0445611080181126,0.115894062098919,0.0690172319304908,2.8780864995621
"4NV(CTAP2)",0.0494848089772274,0.136377175517958,0.0666597078144149,2.83485090201671
"8NV(CTAP2)",0.0662461806833041,0.0310364190193537,0.354330581800241,2.69808102610171
"4NV+PD-1-TIGIT-",0.0178256641755858,0.119469644300379,0.0279177079852742,2.66201677972266
"4NV",0.0675313171168844,0.240363459106648,0.0462508674909391,2.58639932430713
"8NV+PD-1-TIGIT-",0.0175297098017657,0.0506482531967736,0.0672192094971973,2.44883779969517
"8NV+226+",0.0536335001649847,0.0186286140947141,0.334774378418223,2.41066555802875
"4NV_TH1",0.0579428298242611,0.491176048222433,0.0810955272177182,2.41006457858716
"4+PD-1-TIGIT-",0.406636348151372,1.35585913429899,0.447637502175184,2.26857551100488
